Quadrimestre,Codigo,Disciplina,Creditos
Quadrimestre 11 (Misto),ESTA013-17,Fundamentos  de Robótica  ESTA,4
Quadrimestre 11 (Misto),ESTA014-17,Sistemas  CAD,4
Quadrimestre 11 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,26
Quadrimestre 12 (Misto),ESTA016-17,Máquinas Elétricas,4
Quadrimestre 12 (Misto),ESTA017-17,Laboratório de  Máquinas Elétricas,2
Quadrimestre 12 (Misto),ESTA018-17,Eletromagnetismo  Aplicado  ESTO,4
Quadrimestre 12 (Misto),ESTA019-17,Projeto  Assistido por  Computador  T-P-E-I,4
Quadrimestre 12 (Misto),ESTA020-17,Modelagem e  Controle  ESTA,4
Quadrimestre 12 (Misto),ESTA021-17,Introdução ao  Controle Discreto  ESTA,4
Quadrimestre 12 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,22
Quadrimestre 13 (Misto),ESTA022-17,Teoria de  Acionamentos  Elétricos  ESTA,4
Quadrimestre 13 (Misto),ESTA023-17,Introdução aos  Processos de  Fabricação  ESTA,4
Quadrimestre 13 (Misto),ESTA902-17,TG I em  Engenharia IAR  Opção Limitada   da Engenharia   ou,3
Quadrimestre 13 (Misto),ESTA903-17,TG II em  Engenharia IAR  Opção Limitada   da Engenharia   ou,2
Quadrimestre 13 (Misto),ESTA904-17,TG III em  Engenharia IAR  ESTA,4
Quadrimestre 13 (Misto),ESTA905-17,Estágio  Curricular em  Engenharia IAR  T-P-E-I,2
Quadrimestre 13 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,19
Quadrimestre 14 (Misto),ESTG001-17,Custos  ESTO,4
Quadrimestre 14 (Misto),ESTG002-17,Desenvolvimento  Integrado do  Produto  ESZG,4
Quadrimestre 14 (Misto),ESTG003-17,Economia de  Empresas  ESTG,4
Quadrimestre 14 (Misto),ESTG005-17,Engenharia  Econômica Aplic,4
Quadrimestre 14 (Misto),ESTG006-17,Engenharia de segurança do trabalho,4
Quadrimestre 14 (Misto),ESTG007-17,Engenharia  Logística  ESTG,4
