Quadrimestre,Codigo,Disciplina,Creditos
Quadrimestre 12 (Misto),ESTA018-17,Eletromagnetismo  Aplicado  ESTO,4
Quadrimestre 12 (Misto),ESTA020-17,Modelagem e  Controle  ESTA,4
Quadrimestre 12 (Misto),ESTB023-17,-  Física Médica I  ESTB,4
Quadrimestre 12 (Misto),ESTB030-17,-  Física Médica II  ESBM,4
Quadrimestre 12 (Misto),ESTE022-17,Transferência de Calor I,4
Quadrimestre 12 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,25
Quadrimestre 13 (Misto),ESTA001-17,Dispositivos Eletrônicos,5
Quadrimestre 13 (Misto),ESTA004-17,Circuitos Elétricos II,5
Quadrimestre 13 (Misto),ESTA016-17,Máquinas Elétricas,4
Quadrimestre 13 (Misto),ESTB009-17,-  Princípios de  Imagens  Médicas  ESBM,4
Quadrimestre 13 (Misto),ESTB022-17,-  Fundamentos  de Eletrônica  Analógica e  Digital   ESTB,4
Quadrimestre 13 (Misto),ESTE016-17,Introdução aos  Sistemas  Elétricos de  Potência  ESTE,4
Quadrimestre 13 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,26
Quadrimestre 14 (Misto),ESTA007-17,Eletrônica Analógica  Aplicada,5
Quadrimestre 14 (Misto),ESTA010-17,Sensores e  Transdutores  ESTA,4
Quadrimestre 14 (Misto),ESTA017-17,Laboratório de  Máquinas Elétricas,2
Quadrimestre 14 (Misto),ESTA022-17,Teoria de  Acionamentos  Elétricos  ESTA,4
Quadrimestre 14 (Misto),ESTE023-17,Transferência de Calor II,4
Quadrimestre 14 (Misto),ESTI003-17,Transformadas em  Sinais e Sistemas  Lineares,4
Quadrimestre 14 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,23
Quadrimestre 15 (Misto),ESTI016-17,Fundamentos  de Fotônica  Opção  Limitada,4
Quadrimestre 15 (Misto),ESTI017-17,Fundamentos de  Eletromagnetismo  Aplicado  ESTI,4
Quadrimestre 15 (Misto),ESTI018-17,Ondas  Eletromagnéticas  Aplicadas  ESTI,4
Quadrimestre 15 (Misto),ESTO001-17,Circuitos Elétricos e  Fotônica,4
Quadrimestre 15 (Misto),ESTO015-17,Mecânica dos Fluidos I,4
Quadrimestre 15 (Misto),MCTB010-13,Cálculo Vetorial e  Tensorial,4
Quadrimestre 15 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,24
Quadrimestre 16 (Misto),ESAE003-23,Dinâmica de  Gases  ESTS,4
Quadrimestre 16 (Misto),ESTE024-17,Mecânica dos Fluidos II,4
Quadrimestre 16 (Misto),ESTE027-17,Laboratorio de  Calor e Fluídos  ESTE,4
Quadrimestre 16 (Misto),ESTE031-17,Engenharia de  Recursos  Hídricos  Opção  Limitada,4
Quadrimestre 16 (Misto),ESTE035-17,Engenharia  Eólica          Créd.,18
Quadrimestre 16 (Misto),OL,Opção Limitada / Livre,4
Quadrimestre 16 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,38
Quadrimestre 17 (Misto),ESAE004-23,Métodos Computacionais para Análise Estrutural,4
Quadrimestre 17 (Misto),ESAE005-23,Técnicas de  Análise  Estrutural  ESTS,4
Quadrimestre 17 (Misto),ESAU010-23,Cartografia e  Geoprocessamento  ESTU,4
Quadrimestre 17 (Misto),ESIF001-23,Codificação de  Sinais Multimídia,4
Quadrimestre 17 (Misto),ESTA003-17,Sistemas de Controle I,5
Quadrimestre 17 (Misto),ESTA005-17,Análise de  Sistemas  Dinâmicos  Lineares  ESTA,4
Quadrimestre 17 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,25
Quadrimestre 18 (Misto),ESTA008-17,Sistemas de Controle II,5
Quadrimestre 18 (Misto),ESTA011-17,Automação de  Sistemas  Industriais  Opção Limitada   da Engenharia   ou,4
Quadrimestre 18 (Misto),OL,Opção Limitada / Livre,4
Quadrimestre 18 (Misto),OL,Opção Limitada / Livre,4
Quadrimestre 18 (Misto),OL,Opção Limitada / Livre,4
Quadrimestre 18 (Misto),OL,Opção Limitada / Livre,4
Quadrimestre 18 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,25
Quadrimestre 19 (Misto),ESTA006-17,Fotônica  Opção  Limitada   da Engenharia   ou,4
Quadrimestre 19 (Misto),ESTA013-17,Fundamentos  de Robótica  ESTA,4
Quadrimestre 19 (Misto),ESTA014-17,Sistemas  CAD,4
Quadrimestre 19 (Misto),ESTA019-17,Projeto  Assistido por  Computador  T-P-E-I,4
Quadrimestre 19 (Misto),ESTA021-17,Introdução ao  Controle Discreto  ESTA,4
Quadrimestre 19 (Misto),ESTA902-17,TG I em  Engenharia IAR  Opção Limitada   da Engenharia   ou,3
Quadrimestre 19 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,23
Quadrimestre 20 (Misto),ESTA903-17,TG II em  Engenharia IAR  Opção Limitada   da Engenharia   ou,2
Quadrimestre 20 (Misto),ESTA904-17,TG III em  Engenharia IAR  ESTA,4
Quadrimestre 20 (Misto),ESTA905-17,Estágio  Curricular em  Engenharia IAR  T-P-E-I,2
Quadrimestre 20 (Misto),ESTB013-17,-  Biossegurança  ESTB,4
Quadrimestre 20 (Misto),ESTB015-17,-  Princípios de  Ética em  Serviços de  Saúde  BCS,4
Quadrimestre 20 (Misto),ESTB019-17,-  Bioestatística  ESTB,4
Quadrimestre 20 (Misto),---,✅ TOTAL ESTIMADO DO QUADRIMESTRE,20
